[12/22 15:18:10 detectron2]: Serializing 860001 elements to byte tensors and concatenating them all ...
[12/22 15:18:10 detectron2]: Serializing 860001 elements to byte tensors and concatenating them all ...
[12/22 15:18:12 detectron2]: Serialized dataset takes 505.05 MiB
[12/22 15:18:13 detectron2]: Serialized dataset takes 505.05 MiB
  time      PID  rss    pss    uss    shared    shared_file
------  -------  -----  -----  -----  --------  -------------
 20326  1495767  1.7G   1.5G   1.5G   177.8M    177.8M
  time      PID  rss    pss    uss    shared    shared_file
------  -------  -----  -----  -----  --------  -------------
 20326  1495766  1.7G   1.5G   1.5G   178.2M    178.2M
  time      PID  rss     pss    uss    shared    shared_file
------  -------  ------  -----  -----  --------  -------------
 20328  1495766  1.7G    1.5G   1.5G   182.5M    182.5M
 20328  1495938  200.2M  64.0M  36.3M  163.8M    51.3M
 20328  1495939  210.1M  66.6M  38.4M  171.7M    59.7M
 20328  1495940  216.6M  72.1M  44.0M  172.7M    61.7M
 20328  1495941  214.5M  69.8M  41.6M  172.9M    61.8M
 20328  1495767  1.7G    1.5G   1.5G   182.3M    182.2M
 20328  1495934  238.8M  94.2M  66.3M  172.6M    62.9M
 20328  1495935  239.3M  95.0M  67.2M  172.2M    62.7M
 20328  1495936  239.4M  95.0M  67.2M  172.2M    62.8M
 20328  1495937  239.5M  95.0M  67.1M  172.4M    62.9M
  time      PID  rss     pss    uss    shared    shared_file
------  -------  ------  -----  -----  --------  -------------
 20329  1495766  1.7G    1.5G   1.5G   189.4M    189.4M
 20329  1495938  251.9M  97.5M  67.8M  184.2M    74.9M
 20329  1495939  251.8M  97.5M  67.8M  184.0M    74.8M
 20329  1495940  251.7M  97.4M  67.7M  184.0M    74.7M
 20329  1495941  251.2M  97.2M  67.7M  183.5M    74.2M
 20329  1495767  1.7G    1.5G   1.5G   190.9M    190.9M
 20329  1495934  253.6M  97.7M  67.7M  185.9M    76.6M
 20329  1495935  253.9M  97.9M  67.7M  186.2M    76.9M
 20329  1495936  253.8M  97.7M  67.7M  186.1M    76.8M
 20329  1495937  254.1M  97.8M  67.7M  186.5M    77.1M
  time      PID  rss     pss    uss    shared    shared_file
------  -------  ------  -----  -----  --------  -------------
 20331  1495766  1.7G    1.5G   1.5G   196.9M    196.9M
 20331  1495938  259.4M  99.0M  67.8M  191.7M    82.4M
 20331  1495939  259.3M  99.0M  67.8M  191.6M    82.3M
 20331  1495940  259.2M  98.9M  67.7M  191.5M    82.2M
 20331  1495941  258.7M  98.7M  67.7M  191.0M    81.7M
 20331  1495767  1.7G    1.5G   1.5G   198.7M    198.7M
 20331  1495934  261.3M  99.2M  67.7M  193.7M    84.3M
 20331  1495935  261.9M  99.5M  67.7M  194.2M    84.8M
 20331  1495936  261.7M  99.3M  67.7M  194.1M    84.7M
 20331  1495937  262.1M  99.4M  67.7M  194.4M    85.0M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20332  1495766  1.7G    1.5G    1.5G   206.7M    206.7M
 20332  1495938  269.4M  101.2M  67.8M  201.7M    92.4M
 20332  1495939  269.1M  101.0M  67.8M  201.4M    92.1M
 20332  1495940  268.9M  100.8M  67.8M  201.1M    91.9M
 20332  1495941  268.2M  100.6M  67.7M  200.5M    91.2M
 20332  1495767  1.7G    1.5G    1.5G   208.7M    208.7M
 20332  1495934  271.4M  101.2M  67.7M  203.7M    94.3M
 20332  1495935  271.7M  101.4M  67.7M  204.1M    94.7M
 20332  1495936  271.7M  101.3M  67.7M  204.0M    94.7M
 20332  1495937  271.9M  101.3M  67.7M  204.3M    94.9M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20333  1495766  1.7G    1.5G    1.5G   214.7M    214.7M
 20333  1495938  277.2M  102.6M  67.8M  209.5M    100.2M
 20333  1495939  277.0M  102.5M  67.8M  209.2M    100.0M
 20333  1495940  276.9M  102.4M  67.8M  209.1M    99.9M
 20333  1495941  276.5M  102.3M  67.7M  208.8M    99.5M
 20333  1495767  1.7G    1.5G    1.5G   217.4M    217.4M
 20333  1495934  280.0M  103.0M  67.7M  212.4M    103.0M
 20333  1495935  280.7M  103.3M  67.7M  213.1M    103.7M
 20333  1495936  280.6M  103.1M  67.7M  212.9M    103.5M
 20333  1495937  280.9M  103.1M  67.7M  213.2M    103.8M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20335  1495766  1.7G    1.5G    1.5G   225.2M    225.2M
 20335  1495938  287.7M  104.8M  67.8M  220.0M    110.7M
 20335  1495939  287.5M  104.7M  67.8M  219.8M    110.5M
 20335  1495940  287.3M  104.5M  67.8M  219.6M    110.3M
 20335  1495941  286.6M  104.3M  67.7M  218.8M    109.5M
 20335  1495767  1.7G    1.5G    1.4G   227.1M    227.1M
 20335  1495934  289.7M  104.9M  67.7M  222.0M    112.7M
 20335  1495935  290.0M  105.1M  67.7M  222.3M    113.0M
 20335  1495936  289.9M  105.0M  67.7M  222.3M    112.9M
 20335  1495937  290.1M  105.0M  67.7M  222.4M    113.0M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20336  1495766  1.7G    1.5G    1.4G   233.7M    233.7M
 20336  1495938  296.2M  106.5M  67.8M  228.4M    119.2M
 20336  1495939  295.9M  106.3M  67.8M  228.1M    118.9M
 20336  1495940  295.7M  106.2M  67.8M  228.0M    118.7M
 20336  1495941  294.9M  106.0M  67.7M  227.2M    117.9M
 20336  1495767  1.7G    1.5G    1.4G   235.8M    235.8M
 20336  1495934  298.4M  106.7M  67.7M  230.7M    121.4M
 20336  1495935  298.7M  106.8M  67.7M  231.1M    121.7M
 20336  1495936  298.7M  106.7M  67.7M  231.0M    121.7M
 20336  1495937  298.7M  106.7M  67.7M  231.1M    121.7M
  time      PID  rss     pss     uss    shared    shared_file
------  -------  ------  ------  -----  --------  -------------
 20338  1495766  1.7G    1.5G    1.4G   243.5M    243.5M
 20338  1495938  306.1M  108.5M  67.8M  238.4M    129.1M
 20338  1495939  305.8M  108.3M  67.8M  238.0M    128.8M
 20338  1495940  305.7M  108.2M  67.8M  237.9M    128.7M
 20338  1495941  305.0M  108.0M  67.7M  237.3M    128.0M
 20338  1495767  1.7G    1.5G    1.4G   245.1M    245.1M
 20338  1495934  307.8M  108.5M  67.7M  240.1M    130.8M
